pair,x,y,z,w,dwdq1,dwdq2,dwdq3
1, 0.000,0.000,0.000,0.000,0.000,0.000,0.000
2, 0.000,0.000,0.000,0.250,-0.000,-0.000,-0.000
3, 0.000,0.000,0.000,0.250,-0.000,-0.000,-0.000
4, 0.000,0.000,0.000,0.050,-0.000,-0.000,-0.000
5, 0.000,0.000,0.000,0.250,-0.000,-0.000,-0.000
6, 0.000,0.000,0.000,0.050,-0.000,-0.000,-0.000
7, 0.000,0.000,0.000,0.050,-0.000,-0.000,-0.000
8, 0.000,0.000,0.000,0.005,-0.000,-0.000,-0.000
9, 0.000,0.000,0.100,0.250,-0.000,-0.000,-7.500
10, 0.000,0.000,0.100,0.050,-0.000,-0.000,-1.066
11, 0.000,0.000,0.100,0.250,-0.000,-0.000,-7.500
12, 0.000,0.000,0.100,0.050,-0.000,-0.000,-1.066
13, 0.000,0.000,0.100,0.250,-0.000,-0.000,-7.500
14, 0.000,0.000,0.100,0.005,-0.000,-0.000,-0.083
15, 0.000,0.000,0.100,0.050,-0.000,-0.000,-1.066
16, 0.000,0.000,0.100,0.250,-0.000,-0.000,-7.500
17, 0.000,0.000,0.100,0.050,-0.000,-0.000,-1.066
18, 0.000,0.000,0.100,0.050,-0.000,-0.000,-1.066
19, 0.000,0.000,0.100,0.005,-0.000,-0.000,-0.083
20, 0.000,0.000,0.200,0.250,-0.000,-0.000,-15.000
21, 0.000,0.000,0.200,0.050,-0.000,-0.000,-2.132
22, 0.000,0.000,0.200,0.050,-0.000,-0.000,-2.132
23, 0.000,0.000,0.200,0.005,-0.000,-0.000,-0.167
24, 0.000,0.000,0.200,0.250,-0.000,-0.000,-15.000
25, 0.000,0.000,0.200,0.250,-0.000,-0.000,-15.000
26, 0.000,0.000,0.200,0.050,-0.000,-0.000,-2.132
27, 0.000,0.000,0.200,0.250,-0.000,-0.000,-15.000
28, 0.000,0.000,0.200,0.050,-0.000,-0.000,-2.132
29, 0.000,0.000,0.200,0.050,-0.000,-0.000,-2.132
30, 0.000,0.000,0.200,0.005,-0.000,-0.000,-0.167
31, 0.000,0.000,0.300,0.250,-0.000,-0.000,-22.500
32, 0.000,0.000,0.300,0.050,-0.000,-0.000,-3.198
33, 0.000,0.000,0.300,0.250,-0.000,-0.000,-22.500
34, 0.000,0.000,0.300,0.050,-0.000,-0.000,-3.198
35, 0.000,0.000,0.300,0.250,-0.000,-0.000,-22.500
36, 0.000,0.000,0.300,0.005,-0.000,-0.000,-0.250
37, 0.000,0.000,0.300,0.050,-0.000,-0.000,-3.198
38, 0.000,0.000,0.300,0.250,-0.000,-0.000,-22.500
39, 0.000,0.000,0.300,0.000,-0.000,-0.000,-0.000
40, 0.000,0.000,0.300,0.050,-0.000,-0.000,-3.198
41, 0.000,0.000,0.300,0.050,-0.000,-0.000,-3.198
42, 0.000,0.000,0.300,0.005,-0.000,-0.000,-0.250
