num,x,y,z
1,0.000,0.000,0.000
2,0.000,0.000,0.100
3,0.000,0.000,0.200
4,0.000,0.000,0.300
5,0.000,0.000,0.400
6,0.000,0.000,0.500
7,0.000,0.000,0.600
8,0.000,0.000,0.700
9,0.000,0.000,0.800
10,0.000,0.000,0.900
11,0.000,0.000,1.000
12,0.000,0.100,0.000
13,0.000,0.100,0.100
14,0.000,0.100,0.200
15,0.000,0.100,0.300
16,0.000,0.100,0.400
17,0.000,0.100,0.500
18,0.000,0.100,0.600
19,0.000,0.100,0.700
20,0.000,0.100,0.800
21,0.000,0.100,0.900
22,0.000,0.100,1.000
23,0.000,0.200,0.000
24,0.000,0.200,0.100
25,0.000,0.200,0.200
26,0.000,0.200,0.300
27,0.000,0.200,0.400
28,0.000,0.200,0.500
29,0.000,0.200,0.600
30,0.000,0.200,0.700
31,0.000,0.200,0.800
32,0.000,0.200,0.900
33,0.000,0.200,1.000
34,0.000,0.300,0.000
35,0.000,0.300,0.100
36,0.000,0.300,0.200
37,0.000,0.300,0.300
38,0.000,0.300,0.400
39,0.000,0.300,0.500
40,0.000,0.300,0.600
41,0.000,0.300,0.700
42,0.000,0.300,0.800
43,0.000,0.300,0.900
44,0.000,0.300,1.000
45,0.000,0.400,0.000
46,0.000,0.400,0.100
47,0.000,0.400,0.200
48,0.000,0.400,0.300
49,0.000,0.400,0.400
50,0.000,0.400,0.500
51,0.000,0.400,0.600
52,0.000,0.400,0.700
53,0.000,0.400,0.800
54,0.000,0.400,0.900
55,0.000,0.400,1.000
56,0.000,0.500,0.000
57,0.000,0.500,0.100
58,0.000,0.500,0.200
59,0.000,0.500,0.300
60,0.000,0.500,0.400
61,0.000,0.500,0.500
62,0.000,0.500,0.600
63,0.000,0.500,0.700
64,0.000,0.500,0.800
65,0.000,0.500,0.900
66,0.000,0.500,1.000
67,0.000,0.600,0.000
68,0.000,0.600,0.100
69,0.000,0.600,0.200
70,0.000,0.600,0.300
71,0.000,0.600,0.400
72,0.000,0.600,0.500
73,0.000,0.600,0.600
74,0.000,0.600,0.700
75,0.000,0.600,0.800
76,0.000,0.600,0.900
77,0.000,0.600,1.000
78,0.000,0.700,0.000
79,0.000,0.700,0.100
80,0.000,0.700,0.200
81,0.000,0.700,0.300
82,0.000,0.700,0.400
83,0.000,0.700,0.500
84,0.000,0.700,0.600
85,0.000,0.700,0.700
86,0.000,0.700,0.800
87,0.000,0.700,0.900
88,0.000,0.700,1.000
89,0.000,0.800,0.000
90,0.000,0.800,0.100
91,0.000,0.800,0.200
92,0.000,0.800,0.300
93,0.000,0.800,0.400
94,0.000,0.800,0.500
95,0.000,0.800,0.600
96,0.000,0.800,0.700
97,0.000,0.800,0.800
98,0.000,0.800,0.900
99,0.000,0.800,1.000
100,0.000,0.900,0.000
101,0.000,0.900,0.100
102,0.000,0.900,0.200
103,0.000,0.900,0.300
104,0.000,0.900,0.400
105,0.000,0.900,0.500
106,0.000,0.900,0.600
107,0.000,0.900,0.700
108,0.000,0.900,0.800
109,0.000,0.900,0.900
110,0.000,0.900,1.000
111,0.000,1.000,0.000
112,0.000,1.000,0.100
113,0.000,1.000,0.200
114,0.000,1.000,0.300
115,0.000,1.000,0.400
116,0.000,1.000,0.500
117,0.000,1.000,0.600
118,0.000,1.000,0.700
119,0.000,1.000,0.800
120,0.000,1.000,0.900
121,0.000,1.000,1.000
122,0.100,0.000,0.000
123,0.100,0.000,0.100
124,0.100,0.000,0.200
125,0.100,0.000,0.300
126,0.100,0.000,0.400
127,0.100,0.000,0.500
128,0.100,0.000,0.600
129,0.100,0.000,0.700
130,0.100,0.000,0.800
131,0.100,0.000,0.900
132,0.100,0.000,1.000
133,0.100,0.100,0.000
134,0.100,0.100,0.100
135,0.100,0.100,0.200
136,0.100,0.100,0.300
137,0.100,0.100,0.400
138,0.100,0.100,0.500
139,0.100,0.100,0.600
140,0.100,0.100,0.700
141,0.100,0.100,0.800
142,0.100,0.100,0.900
143,0.100,0.100,1.000
144,0.100,0.200,0.000
145,0.100,0.200,0.100
146,0.100,0.200,0.200
147,0.100,0.200,0.300
148,0.100,0.200,0.400
149,0.100,0.200,0.500
